## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_59_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_59_gc_summary.txt INPUT=BACW_59.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_59_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 17:04:36 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	195	15	0.014697	0.001052			
All Reads	ALL	1	96778	181	15	0.018804	0.001398			
All Reads	ALL	2	112145	242	15	0.021697	0.001395			
All Reads	ALL	3	142995	364	14	0.025594	0.001341			
All Reads	ALL	4	154320	521	14	0.033945	0.001487			
All Reads	ALL	5	157807	622	13	0.03963	0.001589			
All Reads	ALL	6	178809	869	13	0.048864	0.001658			
All Reads	ALL	7	192237	1078	12	0.056382	0.001717			
All Reads	ALL	8	219150	1492	12	0.068452	0.001772			
All Reads	ALL	9	247666	1992	12	0.080869	0.001812			
All Reads	ALL	10	291586	2694	11	0.092894	0.00179			
All Reads	ALL	11	356793	3960	11	0.111593	0.001773			
All Reads	ALL	12	465979	5723	11	0.123485	0.001632			
All Reads	ALL	13	615239	8853	11	0.144678	0.001538			
All Reads	ALL	14	873141	13841	10	0.159382	0.001355			
All Reads	ALL	15	1285786	22414	10	0.17527	0.001171			
All Reads	ALL	16	1924728	36612	10	0.191254	0.001			
All Reads	ALL	17	2891023	61407	10	0.213562	0.000862			
All Reads	ALL	18	4335741	100752	10	0.23364	0.000736			
All Reads	ALL	19	6401990	163595	9	0.256928	0.000635			
All Reads	ALL	20	9247196	259773	9	0.28245	0.000554			
All Reads	ALL	21	13006685	402857	9	0.311416	0.000491			
All Reads	ALL	22	17758784	605771	9	0.342967	0.000441			
All Reads	ALL	23	23572432	884958	9	0.377464	0.000401			
All Reads	ALL	24	30422731	1247839	9	0.412399	0.000369			
All Reads	ALL	25	38148940	1702159	9	0.448616	0.000344			
All Reads	ALL	26	46458566	2244970	9	0.485849	0.000324			
All Reads	ALL	27	55140542	2868123	8	0.522978	0.000309			
All Reads	ALL	28	63902550	3565297	8	0.560963	0.000297			
All Reads	ALL	29	72441993	4312230	8	0.598506	0.000288			
All Reads	ALL	30	80581156	5095205	8	0.635748	0.000282			
All Reads	ALL	31	88164984	5911312	8	0.674132	0.000277			
All Reads	ALL	32	95038247	6734254	8	0.71244	0.000275			
All Reads	ALL	33	101107447	7559681	8	0.751757	0.000273			
All Reads	ALL	34	106387106	8336668	8	0.787881	0.000273			
All Reads	ALL	35	110786537	9096013	8	0.825507	0.000274			
All Reads	ALL	36	114265477	9744607	7	0.857445	0.000275			
All Reads	ALL	37	116110601	10248321	7	0.887437	0.000277			
All Reads	ALL	38	115907234	10603022	7	0.919763	0.000282			
All Reads	ALL	39	113900160	10753399	7	0.949245	0.000289			
All Reads	ALL	40	110364340	10766628	7	0.980862	0.000299			
All Reads	ALL	41	105407746	10631066	7	1.014054	0.000311			
All Reads	ALL	42	99544188	10457957	7	1.056301	0.000327			
All Reads	ALL	43	93500811	10281097	7	1.105557	0.000345			
All Reads	ALL	44	88088657	10105656	7	1.153457	0.000363			
All Reads	ALL	45	83720724	9997981	7	1.200705	0.00038			
All Reads	ALL	46	80351717	9934747	6	1.243136	0.000394			
All Reads	ALL	47	77655538	9887918	6	1.280234	0.000407			
All Reads	ALL	48	74952441	9782572	6	1.312273	0.00042			
All Reads	ALL	49	71661283	9548234	6	1.339662	0.000434			
All Reads	ALL	50	67505559	9143099	6	1.361792	0.00045			
All Reads	ALL	51	62660114	8615675	6	1.382468	0.000471			
All Reads	ALL	52	57645953	8017605	6	1.398404	0.000494			
All Reads	ALL	53	52963590	7431450	6	1.41076	0.000518			
All Reads	ALL	54	48793587	6898867	6	1.421582	0.000541			
All Reads	ALL	55	45115286	6426523	6	1.432218	0.000565			
All Reads	ALL	56	41569878	5956534	6	1.440694	0.00059			
All Reads	ALL	57	37799155	5458489	6	1.451935	0.000621			
All Reads	ALL	58	33644269	4900310	6	1.464433	0.000662			
All Reads	ALL	59	29144419	4289947	6	1.479972	0.000715			
All Reads	ALL	60	24632876	3669602	6	1.497824	0.000782			
All Reads	ALL	61	20468515	3094351	6	1.519988	0.000864			
All Reads	ALL	62	16914610	2584983	5	1.536571	0.000956			
All Reads	ALL	63	13979884	2151847	5	1.547621	0.001055			
All Reads	ALL	64	11560263	1784473	5	1.552027	0.001162			
All Reads	ALL	65	9542060	1473455	5	1.552572	0.001279			
All Reads	ALL	66	7868349	1207121	5	1.542496	0.001404			
All Reads	ALL	67	6396960	974934	5	1.532352	0.001552			
All Reads	ALL	68	5119562	777900	5	1.527735	0.001732			
All Reads	ALL	69	4099097	617057	5	1.51354	0.001927			
All Reads	ALL	70	3289710	483898	5	1.478949	0.002126			
All Reads	ALL	71	2634439	378610	5	1.444977	0.002348			
All Reads	ALL	72	2131665	297462	5	1.403038	0.002572			
All Reads	ALL	73	1739975	236700	5	1.367767	0.002811			
All Reads	ALL	74	1435643	188675	5	1.321371	0.003042			
All Reads	ALL	75	1208249	155803	4	1.296511	0.003285			
All Reads	ALL	76	1041500	130263	4	1.257531	0.003484			
All Reads	ALL	77	916351	109374	4	1.200077	0.003629			
All Reads	ALL	78	815285	92838	4	1.144915	0.003758			
All Reads	ALL	79	711558	77021	4	1.088318	0.003921			
All Reads	ALL	80	606682	63942	4	1.059698	0.004191			
All Reads	ALL	81	510586	52156	4	1.027052	0.004497			
All Reads	ALL	82	428988	41973	4	0.983743	0.004802			
All Reads	ALL	83	353096	32463	4	0.924385	0.00513			
