## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_61_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_61_gc_summary.txt INPUT=BACW_61.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_61_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 17:25:09 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	136	15	0.010184	0.000873			
All Reads	ALL	1	96778	129	15	0.013315	0.001172			
All Reads	ALL	2	112145	209	14	0.018616	0.001288			
All Reads	ALL	3	142995	276	14	0.019281	0.001161			
All Reads	ALL	4	154320	383	13	0.024792	0.001267			
All Reads	ALL	5	157807	509	13	0.03222	0.001428			
All Reads	ALL	6	178809	652	13	0.036424	0.001426			
All Reads	ALL	7	192237	937	12	0.048689	0.001591			
All Reads	ALL	8	219150	1132	12	0.051598	0.001534			
All Reads	ALL	9	247666	1608	11	0.064856	0.001617			
All Reads	ALL	10	291586	2129	11	0.072936	0.001581			
All Reads	ALL	11	356793	3087	11	0.086427	0.001556			
All Reads	ALL	12	465979	4631	11	0.099275	0.001459			
All Reads	ALL	13	615239	6882	10	0.111738	0.001347			
All Reads	ALL	14	873141	10485	10	0.119954	0.001171			
All Reads	ALL	15	1285786	16688	10	0.129648	0.001004			
All Reads	ALL	16	1924728	26494	10	0.137502	0.000845			
All Reads	ALL	17	2891023	42282	10	0.146095	0.00071			
All Reads	ALL	18	4335741	66465	10	0.15313	0.000594			
All Reads	ALL	19	6401990	105420	9	0.16449	0.000507			
All Reads	ALL	20	9247196	162065	9	0.175069	0.000435			
All Reads	ALL	21	13006685	244819	9	0.188022	0.00038			
All Reads	ALL	22	17758784	364391	9	0.204968	0.00034			
All Reads	ALL	23	23572432	532372	9	0.225602	0.000309			
All Reads	ALL	24	30422731	764845	9	0.251135	0.000287			
All Reads	ALL	25	38148940	1078386	9	0.282373	0.000272			
All Reads	ALL	26	46458566	1492217	8	0.320847	0.000263			
All Reads	ALL	27	55140542	2022028	8	0.366309	0.000258			
All Reads	ALL	28	63902550	2679799	8	0.418905	0.000256			
All Reads	ALL	29	72441993	3463324	8	0.477567	0.000257			
All Reads	ALL	30	80581156	4366562	8	0.541299	0.000259			
All Reads	ALL	31	88164984	5359988	8	0.607294	0.000262			
All Reads	ALL	32	95038247	6411270	8	0.673871	0.000266			
All Reads	ALL	33	101107447	7472665	8	0.738284	0.00027			
All Reads	ALL	34	106387106	8467775	8	0.795081	0.000273			
All Reads	ALL	35	110786537	9398158	8	0.847397	0.000276			
All Reads	ALL	36	114265477	10175007	7	0.88951	0.000279			
All Reads	ALL	37	116110601	10775787	7	0.927061	0.000282			
All Reads	ALL	38	115907234	11181355	7	0.963641	0.000288			
All Reads	ALL	39	113900160	11367347	7	0.996933	0.000296			
All Reads	ALL	40	110364340	11374147	7	1.029488	0.000305			
All Reads	ALL	41	105407746	11249707	7	1.066105	0.000318			
All Reads	ALL	42	99544188	11047324	7	1.108594	0.000334			
All Reads	ALL	43	93500811	10819261	7	1.155882	0.000351			
All Reads	ALL	44	88088657	10616717	7	1.203931	0.000369			
All Reads	ALL	45	83720724	10472848	7	1.249577	0.000386			
All Reads	ALL	46	80351717	10374868	6	1.289789	0.0004			
All Reads	ALL	47	77655538	10305903	6	1.325699	0.000413			
All Reads	ALL	48	74952441	10166115	6	1.354879	0.000425			
All Reads	ALL	49	71661283	9892248	6	1.378928	0.000438			
All Reads	ALL	50	67505559	9453993	6	1.398965	0.000455			
All Reads	ALL	51	62660114	8869312	6	1.413937	0.000475			
All Reads	ALL	52	57645953	8230225	6	1.426179	0.000497			
All Reads	ALL	53	52963590	7609122	6	1.43512	0.00052			
All Reads	ALL	54	48793587	7049581	6	1.443217	0.000544			
All Reads	ALL	55	45115286	6546817	6	1.449565	0.000567			
All Reads	ALL	56	41569878	6058806	6	1.455927	0.000591			
All Reads	ALL	57	37799155	5540073	6	1.464079	0.000622			
All Reads	ALL	58	33644269	4960500	6	1.472806	0.000661			
All Reads	ALL	59	29144419	4328641	6	1.483636	0.000713			
All Reads	ALL	60	24632876	3694454	6	1.498188	0.000779			
All Reads	ALL	61	20468515	3104464	6	1.515066	0.00086			
All Reads	ALL	62	16914610	2590589	5	1.529916	0.000951			
All Reads	ALL	63	13979884	2155539	5	1.540223	0.001049			
All Reads	ALL	64	11560263	1788837	5	1.545732	0.001156			
All Reads	ALL	65	9542060	1471143	5	1.540082	0.00127			
All Reads	ALL	66	7868349	1204519	5	1.529189	0.001393			
All Reads	ALL	67	6396960	973300	5	1.519862	0.001541			
All Reads	ALL	68	5119562	774082	5	1.510377	0.001717			
All Reads	ALL	69	4099097	614273	5	1.49694	0.00191			
All Reads	ALL	70	3289710	479565	5	1.4562	0.002103			
All Reads	ALL	71	2634439	374906	5	1.421561	0.002322			
All Reads	ALL	72	2131665	294056	5	1.377978	0.002541			
All Reads	ALL	73	1739975	233438	5	1.34017	0.002774			
All Reads	ALL	74	1435643	186663	5	1.298802	0.003006			
All Reads	ALL	75	1208249	152852	4	1.263705	0.003232			
All Reads	ALL	76	1041500	127745	4	1.225225	0.003428			
All Reads	ALL	77	916351	107176	4	1.168334	0.003569			
All Reads	ALL	78	815285	90759	4	1.112017	0.003691			
All Reads	ALL	79	711558	76377	4	1.072219	0.00388			
All Reads	ALL	80	606682	63013	4	1.037529	0.004133			
All Reads	ALL	81	510586	51649	4	1.010472	0.004446			
All Reads	ALL	82	428988	41594	4	0.968538	0.004749			
All Reads	ALL	83	353096	31832	4	0.900539	0.005047			
All Reads	ALL	84	276529	24128	4	0.871589	0.005611			
All Reads	ALL	85	200966	17367	4	0.863244	0.00655			
All Reads	ALL	86	134371	12371	4	0.919667	0.008269			
All Reads	ALL	87	88139	8407	4	0.952805	0.010392			
All Reads	ALL	88	60841	5458	3	0.896125	0.01213			
All Reads	ALL	89	39439	3517	3	0.890795	0.015021			
All Reads	ALL	90	25739	2161	3	0.838676	0.018041			
All Reads	ALL	91	16593	1200	3	0.722416	0.020854			
All Reads	ALL	92	9922	669	3	0.673532	0.02604			
All Reads	ALL	93	6255	414	3	0.661156	0.032494			
All Reads	ALL	94	3553	234	3	0.657888	0.043007			
All Reads	ALL	95	1701	73	3	0.428696	0.050175			
All Reads	ALL	96	986	41	2	0.415373	0.06487			
All Reads	ALL	97	658	24	2	0.364348	0.074372			
All Reads	ALL	98	328	11	2	0.335004	0.101008			
All Reads	ALL	99	133	0	0	0	0			
All Reads	ALL	100	339	4	2	0.117867	0.058933			


