## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_56_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_56_gc_summary.txt INPUT=BACW_56.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_56_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 15:59:58 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	335	12	0.022489	0.001229			
All Reads	ALL	1	96778	284	16	0.02628	0.001559			
All Reads	ALL	2	112145	384	15	0.030665	0.001565			
All Reads	ALL	3	142995	605	14	0.03789	0.00154			
All Reads	ALL	4	154320	842	14	0.048863	0.001684			
All Reads	ALL	5	157807	1002	13	0.056863	0.001796			
All Reads	ALL	6	178809	1351	13	0.067664	0.001841			
All Reads	ALL	7	192237	1652	12	0.07696	0.001893			
All Reads	ALL	8	219150	2210	12	0.090311	0.001921			
All Reads	ALL	9	247666	3021	12	0.109239	0.001987			
All Reads	ALL	10	291586	4016	11	0.123344	0.001946			
All Reads	ALL	11	356793	5575	11	0.139933	0.001874			
All Reads	ALL	12	465979	8225	11	0.158074	0.001743			
All Reads	ALL	13	615239	12485	11	0.181734	0.001626			
All Reads	ALL	14	873141	19048	10	0.195369	0.001416			
All Reads	ALL	15	1285786	31002	10	0.21593	0.001226			
All Reads	ALL	16	1924728	50999	10	0.237292	0.001051			
All Reads	ALL	17	2891023	82246	10	0.254774	0.000888			
All Reads	ALL	18	4335741	134693	10	0.27821	0.000758			
All Reads	ALL	19	6401990	218539	9	0.305707	0.000654			
All Reads	ALL	20	9247196	345521	9	0.334623	0.000569			
All Reads	ALL	21	13006685	531872	9	0.366212	0.000502			
All Reads	ALL	22	17758784	795394	9	0.401107	0.00045			
All Reads	ALL	23	23572432	1155447	9	0.438972	0.000408			
All Reads	ALL	24	30422731	1625848	9	0.478601	0.000375			
All Reads	ALL	25	38148940	2203448	9	0.517264	0.000348			
All Reads	ALL	26	46458566	2898898	9	0.558803	0.000328			
All Reads	ALL	27	55140542	3684716	8	0.598445	0.000312			
All Reads	ALL	28	63902550	4538476	8	0.636039	0.000299			
All Reads	ALL	29	72441993	5450421	8	0.6738	0.000289			
All Reads	ALL	30	80581156	6376077	8	0.708617	0.000281			
All Reads	ALL	31	88164984	7311810	8	0.742712	0.000275			
All Reads	ALL	32	95038247	8239527	8	0.776418	0.00027			
All Reads	ALL	33	101107447	9145132	8	0.810025	0.000268			
All Reads	ALL	34	106387106	9974448	8	0.839637	0.000266			
All Reads	ALL	35	110786537	10764483	8	0.870157	0.000265			
All Reads	ALL	36	114265477	11414822	7	0.894635	0.000265			
All Reads	ALL	37	116110601	11915104	7	0.919004	0.000266			
All Reads	ALL	38	115907234	12209034	7	0.943327	0.00027			
All Reads	ALL	39	113900160	12284841	7	0.96591	0.000276			
All Reads	ALL	40	110364340	12170001	7	0.987537	0.000283			
All Reads	ALL	41	105407746	11916764	7	1.012459	0.000293			
All Reads	ALL	42	99544188	11605356	7	1.044081	0.000306			
All Reads	ALL	43	93500811	11272887	7	1.079721	0.000322			
All Reads	ALL	44	88088657	11001243	7	1.118442	0.000337			
All Reads	ALL	45	83720724	10807080	7	1.156024	0.000352			
All Reads	ALL	46	80351717	10685241	6	1.190915	0.000364			
All Reads	ALL	47	77655538	10589936	6	1.221272	0.000375			
All Reads	ALL	48	74952441	10443820	6	1.247858	0.000386			
All Reads	ALL	49	71661283	10169019	6	1.270826	0.000399			
All Reads	ALL	50	67505559	9725523	6	1.290224	0.000414			
All Reads	ALL	51	62660114	9159265	6	1.309064	0.000433			
All Reads	ALL	52	57645953	8515824	6	1.322968	0.000453			
All Reads	ALL	53	52963590	7884974	6	1.333259	0.000475			
All Reads	ALL	54	48793587	7326712	6	1.344739	0.000497			
All Reads	ALL	55	45115286	6822278	6	1.354245	0.000518			
All Reads	ALL	56	41569878	6326519	6	1.362943	0.000542			
All Reads	ALL	57	37799155	5791240	6	1.372085	0.00057			
All Reads	ALL	58	33644269	5198223	6	1.383679	0.000607			
All Reads	ALL	59	29144419	4554581	6	1.399538	0.000656			
All Reads	ALL	60	24632876	3902708	6	1.41887	0.000718			
All Reads	ALL	61	20468515	3295587	6	1.44191	0.000794			
All Reads	ALL	62	16914610	2759426	5	1.460994	0.00088			
All Reads	ALL	63	13979884	2304470	5	1.476247	0.000972			
All Reads	ALL	64	11560263	1917360	5	1.485346	0.001073			
All Reads	ALL	65	9542060	1587347	5	1.489777	0.001182			
All Reads	ALL	66	7868349	1305857	5	1.48629	0.001301			
All Reads	ALL	67	6396960	1057450	5	1.480396	0.00144			
All Reads	ALL	68	5119562	844076	5	1.476523	0.001607			
All Reads	ALL	69	4099097	671405	5	1.466858	0.00179			
All Reads	ALL	70	3289710	527112	5	1.43495	0.001976			
All Reads	ALL	71	2634439	411410	5	1.398551	0.00218			
All Reads	ALL	72	2131665	323717	5	1.359998	0.00239			
All Reads	ALL	73	1739975	257443	5	1.325042	0.002611			
All Reads	ALL	74	1435643	207947	5	1.297173	0.002845			
All Reads	ALL	75	1208249	171213	4	1.26903	0.003067			
All Reads	ALL	76	1041500	142104	4	1.221908	0.003241			
All Reads	ALL	77	916351	120954	4	1.182088	0.003399			
All Reads	ALL	78	815285	101926	4	1.119611	0.003507			
All Reads	ALL	79	711558	86173	4	1.084557	0.003695			
All Reads	ALL	80	606682	71332	4	1.052967	0.003943			
All Reads	ALL	81	510586	58332	4	1.023127	0.004236			
All Reads	ALL	82	428988	46842	4	0.977872	0.004518			
All Reads	ALL	83	353096	36504	4	0.925847	0.004846			
All Reads	ALL	84	276529	27819	4	0.900933	0.005402			
All Reads	ALL	85	200966	20022	4	0.892229	0.006306			
All Reads	ALL	86	134371	14290	4	0.952398	0.007967			
All Reads	ALL	87	88139	9534	4	0.968721	0.009921			
All Reads	ALL	88	60841	6191	3	0.911289	0.011582			
All Reads	ALL	89	39439	3923	3	0.890808	0.014222			
All Reads	ALL	90	25739	2509	3	0.872973	0.017428			
All Reads	ALL	91	16593	1410	3	0.761002	0.020266			
All Reads	ALL	92	9922	843	3	0.760887	0.026206			
All Reads	ALL	93	6255	522	3	0.747368	0.032711			
All Reads	ALL	94	3553	304	3	0.766249	0.043947			
All Reads	ALL	95	1701	125	3	0.658108	0.058863			
All Reads	ALL	96	986	58	2	0.526796	0.069172			
All Reads	ALL	97	658	24	2	0.326646	0.066676			
All Reads	ALL	98	328	13	1	0.354945	0.098444			
All Reads	ALL	99	133	2	2	0.13467	0.095226			
All Reads	ALL	100	339	3	2	0.079253	0.045756			


