## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_52_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_52_gc_summary.txt INPUT=BACW_52.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_52_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 14:52:39 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	417	15	0.032282	0.001581			
All Reads	ALL	1	96778	439	15	0.046846	0.002236			
All Reads	ALL	2	112145	580	15	0.053411	0.002218			
All Reads	ALL	3	142995	970	14	0.070054	0.002249			
All Reads	ALL	4	154320	1278	14	0.085525	0.002392			
All Reads	ALL	5	157807	1603	14	0.104904	0.00262			
All Reads	ALL	6	178809	2031	13	0.117302	0.002603			
All Reads	ALL	7	192237	2564	13	0.137742	0.00272			
All Reads	ALL	8	219150	3390	12	0.15975	0.002744			
All Reads	ALL	9	247666	4380	12	0.182638	0.00276			
All Reads	ALL	10	291586	6074	11	0.215126	0.00276			
All Reads	ALL	11	356793	8664	11	0.250776	0.002694			
All Reads	ALL	12	465979	12846	11	0.284699	0.002512			
All Reads	ALL	13	615239	19562	11	0.328362	0.002348			
All Reads	ALL	14	873141	30830	10	0.364647	0.002077			
All Reads	ALL	15	1285786	50121	10	0.402564	0.001798			
All Reads	ALL	16	1924728	82342	10	0.44181	0.00154			
All Reads	ALL	17	2891023	134515	10	0.480511	0.00131			
All Reads	ALL	18	4335741	218135	10	0.519572	0.001112			
All Reads	ALL	19	6401990	344367	10	0.555508	0.000947			
All Reads	ALL	20	9247196	531889	9	0.594012	0.000814			
All Reads	ALL	21	13006685	794458	9	0.630795	0.000708			
All Reads	ALL	22	17758784	1142261	9	0.664257	0.000622			
All Reads	ALL	23	23572432	1591912	9	0.697427	0.000553			
All Reads	ALL	24	30422731	2138698	9	0.725998	0.000496			
All Reads	ALL	25	38148940	2783314	9	0.753466	0.000452			
All Reads	ALL	26	46458566	3496754	9	0.77729	0.000416			
All Reads	ALL	27	55140542	4276379	8	0.80092	0.000387			
