## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_44_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_44_gc_summary.txt INPUT=BACW_44.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_44_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 13:02:10 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	417	16	0.034089	0.001669			
All Reads	ALL	1	96778	393	16	0.044284	0.002234			
All Reads	ALL	2	112145	522	15	0.05076	0.002222			
All Reads	ALL	3	142995	815	14	0.062154	0.002177			
All Reads	ALL	4	154320	1079	14	0.076249	0.002321			
All Reads	ALL	5	157807	1349	13	0.093222	0.002538			
All Reads	ALL	6	178809	1838	13	0.112096	0.002615			
All Reads	ALL	7	192237	2355	12	0.133594	0.002753			
All Reads	ALL	8	219150	3116	12	0.155057	0.002778			
All Reads	ALL	9	247666	4039	12	0.177845	0.002798			
All Reads	ALL	10	291586	5858	11	0.219087	0.002862			
All Reads	ALL	11	356793	8079	11	0.246931	0.002747			
All Reads	ALL	12	465979	12556	11	0.293846	0.002622			
All Reads	ALL	13	615239	20096	11	0.356205	0.002513			
All Reads	ALL	14	873141	32441	10	0.405177	0.00225			
All Reads	ALL	15	1285786	54012	10	0.458096	0.001971			
All Reads	ALL	16	1924728	89174	10	0.505247	0.001692			
All Reads	ALL	17	2891023	146362	10	0.552092	0.001443			
All Reads	ALL	18	4335741	234063	10	0.588713	0.001217			
All Reads	ALL	19	6401990	367988	10	0.626835	0.001033			
All Reads	ALL	20	9247196	555067	9	0.654591	0.000879			
All Reads	ALL	21	13006685	814802	9	0.683156	0.000757			
All Reads	ALL	22	17758784	1152607	9	0.707787	0.000659			
All Reads	ALL	23	23572432	1579135	9	0.730549	0.000581			
All Reads	ALL	24	30422731	2095734	9	0.751229	0.000519			
All Reads	ALL	25	38148940	2693310	9	0.769907	0.000469			
All Reads	ALL	26	46458566	3360149	9	0.788728	0.00043			
All Reads	ALL	27	55140542	4083631	8	0.807625	0.0004			
All Reads	ALL	28	63902550	4840764	8	0.826095	0.000375			
All Reads	ALL	29	72441993	5610440	8	0.84458	0.000357			
All Reads	ALL	30	80581156	6369233	8	0.861962	0.000342			
All Reads	ALL	31	88164984	7104777	8	0.878797	0.00033			
All Reads	ALL	32	95038247	7814594	8	0.89669	0.000321			
All Reads	ALL	33	101107447	8458044	8	0.912266	0.000314			
All Reads	ALL	34	106387106	9026949	8	0.925308	0.000308			
All Reads	ALL	35	110786537	9519455	8	0.937043	0.000304			
All Reads	ALL	36	114265477	9886307	7	0.943525	0.0003			
All Reads	ALL	37	116110601	10113394	7	0.94986	0.000299			
All Reads	ALL	38	115907234	10202520	7	0.959912	0.000301			
All Reads	ALL	39	113900160	10122427	7	0.969158	0.000305			
All Reads	ALL	40	110364340	9902363	7	0.978463	0.000311			
All Reads	ALL	41	105407746	9603712	7	0.993576	0.000321			
All Reads	ALL	42	99544188	9258714	7	1.014307	0.000333			
All Reads	ALL	43	93500811	8919885	7	1.040347	0.000348			
All Reads	ALL	44	88088657	8613934	7	1.06639	0.000363			
All Reads	ALL	45	83720724	8377122	7	1.09118	0.000377			
All Reads	ALL	46	80351717	8204859	6	1.113552	0.000389			
All Reads	ALL	47	77655538	8058614	6	1.131677	0.000399			
All Reads	ALL	48	74952441	7872413	6	1.145398	0.000408			
All Reads	ALL	49	71661283	7603641	6	1.157102	0.00042			
All Reads	ALL	50	67505559	7214798	6	1.165518	0.000434			
All Reads	ALL	51	62660114	6728940	6	1.171089	0.000451			
All Reads	ALL	52	57645953	6211491	6	1.175064	0.000471			
All Reads	ALL	53	52963590	5719042	6	1.177553	0.000492			
All Reads	ALL	54	48793587	5273575	6	1.178628	0.000513			
All Reads	ALL	55	45115286	4885184	6	1.180842	0.000534			
All Reads	ALL	56	41569878	4505347	6	1.181909	0.000557			
All Reads	ALL	57	37799155	4104214	6	1.184084	0.000584			
All Reads	ALL	58	33644269	3659585	6	1.186193	0.00062			
All Reads	ALL	59	29144419	3177557	6	1.188974	0.000667			
All Reads	ALL	60	24632876	2697097	6	1.194032	0.000727			
All Reads	ALL	61	20468515	2257137	6	1.202558	0.0008			
All Reads	ALL	62	16914610	1869277	5	1.205164	0.000881			
All Reads	ALL	63	13979884	1542933	5	1.203588	0.000969			
All Reads	ALL	64	11560263	1274475	5	1.202259	0.001065			
All Reads	ALL	65	9542060	1043660	5	1.192755	0.001168			
All Reads	ALL	66	7868349	849716	5	1.177673	0.001278			
All Reads	ALL	67	6396960	684464	5	1.16684	0.00141			
All Reads	ALL	68	5119562	541989	5	1.154495	0.001568			
All Reads	ALL	69	4099097	427498	5	1.137314	0.001739			
All Reads	ALL	70	3289710	333993	5	1.10717	0.001916			
All Reads	ALL	71	2634439	259759	5	1.075269	0.00211			
All Reads	ALL	72	2131665	202611	5	1.036522	0.002303			
All Reads	ALL	73	1739975	161004	5	1.009086	0.002515			
All Reads	ALL	74	1435643	128943	5	0.979458	0.002728			
All Reads	ALL	75	1208249	105493	4	0.952142	0.002931			
All Reads	ALL	76	1041500	87339	4	0.914499	0.003094			
All Reads	ALL	77	916351	73147	4	0.870501	0.003219			
All Reads	ALL	78	815285	61747	4	0.825926	0.003324			
All Reads	ALL	79	711558	52000	4	0.796943	0.003495			
All Reads	ALL	80	606682	42797	4	0.769284	0.003719			
All Reads	ALL	81	510586	34621	4	0.739444	0.003974			
All Reads	ALL	82	428988	28007	4	0.711961	0.004254			
All Reads	ALL	83	353096	21717	4	0.67072	0.004551			
All Reads	ALL	84	276529	16252	4	0.640915	0.005027			
All Reads	ALL	85	200966	11917	4	0.646664	0.005924			
All Reads	ALL	86	134371	8346	4	0.677341	0.007414			
All Reads	ALL	87	88139	5667	4	0.701164	0.009314			
All Reads	ALL	88	60841	3657	3	0.655486	0.010839			
All Reads	ALL	89	39439	2361	3	0.652837	0.013436			
All Reads	ALL	90	25739	1380	3	0.584685	0.015739			
All Reads	ALL	91	16593	830	3	0.545491	0.018934			
All Reads	ALL	92	9922	445	3	0.489097	0.023185			
All Reads	ALL	93	6255	276	3	0.48119	0.028964			
All Reads	ALL	94	3553	184	3	0.564751	0.041634			
All Reads	ALL	95	1701	51	2	0.326964	0.045784			
All Reads	ALL	96	986	30	3	0.331802	0.060578			
All Reads	ALL	97	658	11	2	0.182306	0.054967			
All Reads	ALL	98	328	8	2	0.265981	0.094038			
All Reads	ALL	99	133	0	0	0	0			
All Reads	ALL	100	339	0	0	0	0			


