## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_48_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_48_gc_summary.txt INPUT=BACW_48.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_48_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 14:09:59 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	310	15	0.01941	0.001102			
All Reads	ALL	1	96778	309	16	0.026669	0.001517			
All Reads	ALL	2	112145	437	15	0.032549	0.001557			
All Reads	ALL	3	142995	673	14	0.039312	0.001515			
All Reads	ALL	4	154320	967	14	0.05234	0.001683			
All Reads	ALL	5	157807	1242	13	0.06574	0.001865			
All Reads	ALL	6	178809	1660	13	0.077545	0.001903			
All Reads	ALL	7	192237	2204	12	0.095765	0.00204			
All Reads	ALL	8	219150	3080	12	0.117393	0.002115			
All Reads	ALL	9	247666	4115	12	0.138783	0.002163			
All Reads	ALL	10	291586	5997	11	0.171791	0.002218			
All Reads	ALL	11	356793	8588	11	0.201052	0.00217			
All Reads	ALL	12	465979	13078	11	0.234427	0.00205			
All Reads	ALL	13	615239	20075	11	0.272549	0.001924			
All Reads	ALL	14	873141	32023	10	0.306345	0.001712			
All Reads	ALL	15	1285786	52662	10	0.342106	0.001491			
All Reads	ALL	16	1924728	85991	10	0.373178	0.001273			
All Reads	ALL	17	2891023	139303	10	0.402477	0.001078			
All Reads	ALL	18	4335741	221548	10	0.426812	0.000907			
All Reads	ALL	19	6401990	348603	10	0.45483	0.00077			
All Reads	ALL	20	9247196	528120	9	0.47704	0.000656			
All Reads	ALL	21	13006685	777791	9	0.499492	0.000566			
All Reads	ALL	22	17758784	1108124	9	0.521204	0.000495			
All Reads	ALL	23	23572432	1535370	9	0.544053	0.000439			
All Reads	ALL	24	30422731	2062575	9	0.566297	0.000394			
All Reads	ALL	25	38148940	2689877	9	0.588956	0.000359			
All Reads	ALL	26	46458566	3408243	9	0.61277	0.000332			
All Reads	ALL	27	55140542	4210672	8	0.637842	0.000311			
All Reads	ALL	28	63902550	5082928	8	0.664398	0.000295			
All Reads	ALL	29	72441993	5994133	8	0.691144	0.000282			
All Reads	ALL	30	80581156	6932225	8	0.718574	0.000273			
All Reads	ALL	31	88164984	7896774	8	0.748146	0.000266			
All Reads	ALL	32	95038247	8847051	8	0.777558	0.000261			
All Reads	ALL	33	101107447	9773253	8	0.8074	0.000258			
All Reads	ALL	34	106387106	10629602	8	0.834566	0.000256			
All Reads	ALL	35	110786537	11434562	8	0.862115	0.000255			
All Reads	ALL	36	114265477	12099806	7	0.884496	0.000254			
All Reads	ALL	37	116110601	12602033	7	0.90657	0.000255			
All Reads	ALL	38	115907234	12921151	7	0.931158	0.000259			
All Reads	ALL	39	113900160	13015247	7	0.954466	0.000265			
All Reads	ALL	40	110364340	12921059	7	0.977917	0.000272			
All Reads	ALL	41	105407746	12686770	7	1.005336	0.000282			
