## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_65_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_65_gc_summary.txt INPUT=BACW_65.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_65_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 18:08:51 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	234	15	0.017852	0.001167			
All Reads	ALL	1	96778	240	15	0.025239	0.001629			
All Reads	ALL	2	112145	364	15	0.033033	0.001731			
All Reads	ALL	3	142995	496	14	0.035301	0.001585			
All Reads	ALL	4	154320	667	13	0.043988	0.001703			
All Reads	ALL	5	157807	874	13	0.056366	0.001907			
All Reads	ALL	6	178809	1096	13	0.062381	0.001884			
All Reads	ALL	7	192237	1363	12	0.072159	0.001955			
All Reads	ALL	8	219150	1788	12	0.083034	0.001964			
All Reads	ALL	9	247666	2387	12	0.098088	0.002008			
All Reads	ALL	10	291586	3271	11	0.114168	0.001996			
All Reads	ALL	11	356793	4575	11	0.130498	0.001929			
All Reads	ALL	12	465979	6543	11	0.142903	0.001767			
All Reads	ALL	13	615239	9713	11	0.160672	0.00163			
All Reads	ALL	14	873141	15114	10	0.176167	0.001433			
All Reads	ALL	15	1285786	23856	10	0.188825	0.001223			
All Reads	ALL	16	1924728	38800	10	0.20516	0.001042			
All Reads	ALL	17	2891023	62466	10	0.219898	0.00088			
All Reads	ALL	18	4335741	100851	10	0.236726	0.000745			
All Reads	ALL	19	6401990	161176	9	0.256221	0.000638			
All Reads	ALL	20	9247196	253884	9	0.279418	0.000555			
All Reads	ALL	21	13006685	389577	9	0.304829	0.000488			
