## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_42_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_42_gc_summary.txt INPUT=BACW_42.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_42_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 12:39:58 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	151	14	0.011402	0.000928			
All Reads	ALL	1	96778	155	16	0.016133	0.001296			
All Reads	ALL	2	112145	218	14	0.019581	0.001326			
All Reads	ALL	3	142995	338	14	0.02381	0.001295			
All Reads	ALL	4	154320	453	13	0.029569	0.001389			
All Reads	ALL	5	157807	671	13	0.042831	0.001653			
All Reads	ALL	6	178809	901	13	0.050757	0.001691			
All Reads	ALL	7	192237	1196	12	0.062669	0.001812			
All Reads	ALL	8	219150	1676	12	0.077035	0.001882			
All Reads	ALL	9	247666	2317	12	0.094236	0.001958			
All Reads	ALL	10	291586	3552	11	0.122706	0.002059			
All Reads	ALL	11	356793	5140	11	0.145113	0.002024			
All Reads	ALL	12	465979	8237	11	0.178058	0.001962			
All Reads	ALL	13	615239	13145	11	0.215216	0.001877			
All Reads	ALL	14	873141	21223	10	0.244839	0.001681			
All Reads	ALL	15	1285786	36001	10	0.282036	0.001486			
All Reads	ALL	16	1924728	60791	10	0.318147	0.00129			
All Reads	ALL	17	2891023	100468	10	0.350053	0.001104			
All Reads	ALL	18	4335741	162850	10	0.37834	0.000938			
All Reads	ALL	19	6401990	260853	10	0.41043	0.000804			
All Reads	ALL	20	9247196	402448	9	0.438387	0.000691			
All Reads	ALL	21	13006685	603983	9	0.467753	0.000602			
All Reads	ALL	22	17758784	875069	9	0.496349	0.000531			
All Reads	ALL	23	23572432	1227692	9	0.524618	0.000473			
All Reads	ALL	24	30422731	1669717	9	0.552844	0.000428			
All Reads	ALL	25	38148940	2203815	9	0.581903	0.000392			
All Reads	ALL	26	46458566	2819085	9	0.611224	0.000364			
All Reads	ALL	27	55140542	3511233	8	0.641426	0.000342			
All Reads	ALL	28	63902550	4269460	8	0.672997	0.000326			
All Reads	ALL	29	72441993	5061457	8	0.70379	0.000313			
All Reads	ALL	30	80581156	5885548	8	0.735718	0.000303			
All Reads	ALL	31	88164984	6717755	8	0.767514	0.000296			
All Reads	ALL	32	95038247	7549421	8	0.800154	0.000291			
All Reads	ALL	33	101107447	8348240	8	0.831706	0.000288			
All Reads	ALL	34	106387106	9083826	8	0.860078	0.000285			
All Reads	ALL	35	110786537	9765411	8	0.887895	0.000284			
All Reads	ALL	36	114265477	10317731	7	0.909552	0.000283			
All Reads	ALL	37	116110601	10730287	7	0.930888	0.000284			
All Reads	ALL	38	115907234	10971070	7	0.953447	0.000288			
All Reads	ALL	39	113900160	11022771	7	0.97482	0.000294			
All Reads	ALL	40	110364340	10913251	7	0.996055	0.000302			
All Reads	ALL	41	105407746	10677310	7	1.020346	0.000312			
All Reads	ALL	42	99544188	10395475	7	1.051929	0.000326			
All Reads	ALL	43	93500811	10101249	7	1.088223	0.000342			
All Reads	ALL	44	88088657	9830961	7	1.124176	0.000359			
All Reads	ALL	45	83720724	9626748	7	1.158257	0.000373			
All Reads	ALL	46	80351717	9474817	6	1.187774	0.000386			
All Reads	ALL	47	77655538	9343063	6	1.211923	0.000396			
All Reads	ALL	48	74952441	9172326	6	1.232684	0.000407			
All Reads	ALL	49	71661283	8900723	6	1.25112	0.000419			
All Reads	ALL	50	67505559	8483159	6	1.265832	0.000435			
All Reads	ALL	51	62660114	7959440	6	1.279527	0.000454			
All Reads	ALL	52	57645953	7385980	6	1.290617	0.000475			
All Reads	ALL	53	52963590	6825855	6	1.298189	0.000497			
All Reads	ALL	54	48793587	6314711	6	1.303614	0.000519			
All Reads	ALL	55	45115286	5851075	6	1.306382	0.00054			
All Reads	ALL	56	41569878	5401399	6	1.308837	0.000563			
All Reads	ALL	57	37799155	4919693	6	1.311034	0.000591			
All Reads	ALL	58	33644269	4382737	6	1.312177	0.000627			
All Reads	ALL	59	29144419	3810594	6	1.317029	0.000675			
All Reads	ALL	60	24632876	3232848	6	1.32199	0.000735			
All Reads	ALL	61	20468515	2707369	6	1.332353	0.00081			
All Reads	ALL	62	16914610	2243954	5	1.336319	0.000892			
All Reads	ALL	63	13979884	1859990	5	1.340186	0.000983			
All Reads	ALL	64	11560263	1535554	5	1.337998	0.00108			
All Reads	ALL	65	9542060	1262654	5	1.332909	0.001186			
All Reads	ALL	66	7868349	1028939	5	1.317238	0.001299			
All Reads	ALL	67	6396960	827922	5	1.303689	0.001433			
All Reads	ALL	68	5119562	658650	5	1.295926	0.001597			
All Reads	ALL	69	4099097	520489	5	1.279032	0.001773			
All Reads	ALL	70	3289710	406871	5	1.245826	0.001953			
All Reads	ALL	71	2634439	315041	5	1.204584	0.002146			
All Reads	ALL	72	2131665	245917	5	1.162058	0.002343			
All Reads	ALL	73	1739975	194420	5	1.125527	0.002553			
All Reads	ALL	74	1435643	156043	5	1.094853	0.002772			
All Reads	ALL	75	1208249	127486	4	1.062831	0.002977			
All Reads	ALL	76	1041500	105361	4	1.019011	0.003139			
All Reads	ALL	77	916351	87829	4	0.96546	0.003258			
All Reads	ALL	78	815285	74890	4	0.925279	0.003381			
All Reads	ALL	79	711558	62029	4	0.878097	0.003526			
All Reads	ALL	80	606682	51378	4	0.85305	0.003763			
All Reads	ALL	81	510586	41731	4	0.823281	0.00403			
All Reads	ALL	82	428988	33329	4	0.782592	0.004287			
All Reads	ALL	83	353096	25731	4	0.734044	0.004576			
All Reads	ALL	84	276529	19126	4	0.696693	0.005038			
All Reads	ALL	85	200966	13570	4	0.680167	0.005839			
All Reads	ALL	86	134371	9465	4	0.709534	0.007293			
All Reads	ALL	87	88139	6364	3	0.727311	0.009117			
All Reads	ALL	88	60841	4073	3	0.674336	0.010566			
All Reads	ALL	89	39439	2642	3	0.674784	0.013128			
All Reads	ALL	90	25739	1609	3	0.629684	0.015698			
All Reads	ALL	91	16593	1021	3	0.619811	0.019398			
All Reads	ALL	92	9922	529	3	0.53705	0.02335			
All Reads	ALL	93	6255	348	3	0.560415	0.030041			
All Reads	ALL	94	3553	180	3	0.510312	0.038036			
All Reads	ALL	95	1701	89	3	0.52704	0.055866			
All Reads	ALL	96	986	36	2	0.367776	0.061296			
All Reads	ALL	97	658	14	3	0.214319	0.057279			
All Reads	ALL	98	328	10	2	0.307103	0.097115			
All Reads	ALL	99	133	1	0	0.075737	0.075737			
All Reads	ALL	100	339	1	1	0.029714	0.029714			


