## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_64_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_64_gc_summary.txt INPUT=BACW_64.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_64_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 17:47:10 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	332	16	0.022583	0.001239			
All Reads	ALL	1	96778	368	15	0.034505	0.001799			
All Reads	ALL	2	112145	491	15	0.03973	0.001793			
All Reads	ALL	3	142995	751	14	0.047658	0.001739			
All Reads	ALL	4	154320	907	14	0.053333	0.001771			
All Reads	ALL	5	157807	1263	13	0.072626	0.002044			
All Reads	ALL	6	178809	1626	13	0.082517	0.002046			
All Reads	ALL	7	192237	1985	12	0.093699	0.002103			
All Reads	ALL	8	219150	2578	12	0.106747	0.002102			
All Reads	ALL	9	247666	3420	12	0.125306	0.002143			
All Reads	ALL	10	291586	4580	11	0.142532	0.002106			
All Reads	ALL	11	356793	6398	11	0.16272	0.002034			
All Reads	ALL	12	465979	9376	11	0.182585	0.001886			
All Reads	ALL	13	615239	14143	11	0.208599	0.001754			
All Reads	ALL	14	873141	22138	10	0.230074	0.001546			
All Reads	ALL	15	1285786	35287	10	0.249035	0.001326			
All Reads	ALL	16	1924728	57653	10	0.27181	0.001132			
All Reads	ALL	17	2891023	93328	10	0.292937	0.000959			
All Reads	ALL	18	4335741	152399	10	0.318957	0.000817			
All Reads	ALL	19	6401990	246819	10	0.349846	0.000704			
All Reads	ALL	20	9247196	388720	9	0.381453	0.000612			
All Reads	ALL	21	13006685	597704	9	0.416997	0.000539			
All Reads	ALL	22	17758784	897022	9	0.458357	0.000484			
All Reads	ALL	23	23572432	1305311	9	0.502485	0.00044			
All Reads	ALL	24	30422731	1838806	9	0.548468	0.000404			
All Reads	ALL	25	38148940	2501115	9	0.594929	0.000376			
All Reads	ALL	26	46458566	3277887	9	0.640239	0.000354			
All Reads	ALL	27	55140542	4155567	8	0.683869	0.000335			
All Reads	ALL	28	63902550	5104946	8	0.724914	0.000321			
All Reads	ALL	29	72441993	6080576	8	0.761672	0.000309			
All Reads	ALL	30	80581156	7053724	8	0.794326	0.000299			
All Reads	ALL	31	88164984	8010085	8	0.824432	0.000291			
