## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_58_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_58_gc_summary.txt INPUT=BACW_58.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_58_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 16:44:43 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	207	13	0.018264	0.001269			
All Reads	ALL	1	96778	171	16	0.020797	0.00159			
All Reads	ALL	2	112145	284	15	0.029807	0.001769			
All Reads	ALL	3	142995	392	14	0.032266	0.00163			
All Reads	ALL	4	154320	549	14	0.041873	0.001787			
All Reads	ALL	5	157807	677	13	0.050495	0.001941			
All Reads	ALL	6	178809	896	13	0.05898	0.00197			
All Reads	ALL	7	192237	1091	12	0.066799	0.002022			
All Reads	ALL	8	219150	1504	12	0.080777	0.002083			
All Reads	ALL	9	247666	2047	12	0.097282	0.00215			
All Reads	ALL	10	291586	2704	11	0.10915	0.002099			
All Reads	ALL	11	356793	3761	11	0.124071	0.002023			
All Reads	ALL	12	465979	5633	11	0.142284	0.001896			
All Reads	ALL	13	615239	8421	11	0.161103	0.001756			
All Reads	ALL	14	873141	13265	10	0.178816	0.001553			
All Reads	ALL	15	1285786	21799	10	0.19955	0.001352			
All Reads	ALL	16	1924728	35307	10	0.215911	0.001149			
All Reads	ALL	17	2891023	57581	10	0.234429	0.000977			
All Reads	ALL	18	4335741	93694	10	0.25435	0.000831			
All Reads	ALL	19	6401990	150070	9	0.275906	0.000712			
All Reads	ALL	20	9247196	238289	9	0.303303	0.000621			
All Reads	ALL	21	13006685	367194	9	0.332286	0.000548			
