## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_45_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_45_gc_summary.txt INPUT=BACW_45.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_45_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 13:24:18 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	231	16	0.015608	0.001027			
All Reads	ALL	1	96778	210	15	0.019559	0.00135			
All Reads	ALL	2	112145	329	14	0.026444	0.001458			
All Reads	ALL	3	142995	421	14	0.026538	0.001293			
All Reads	ALL	4	154320	608	14	0.035513	0.00144			
All Reads	ALL	5	157807	780	13	0.044553	0.001595			
All Reads	ALL	6	178809	973	13	0.049049	0.001572			
All Reads	ALL	7	192237	1331	12	0.062409	0.001711			
All Reads	ALL	8	219150	1650	12	0.067866	0.001671			
All Reads	ALL	9	247666	2190	12	0.079705	0.001703			
All Reads	ALL	10	291586	3069	11	0.094872	0.001713			
All Reads	ALL	11	356793	4374	11	0.110502	0.001671			
All Reads	ALL	12	465979	6483	11	0.125406	0.001558			
All Reads	ALL	13	615239	9797	11	0.143535	0.00145			
All Reads	ALL	14	873141	15369	10	0.158661	0.00128			
All Reads	ALL	15	1285786	24604	10	0.172483	0.0011			
All Reads	ALL	16	1924728	40127	10	0.187921	0.000938			
All Reads	ALL	17	2891023	66056	10	0.205954	0.000801			
All Reads	ALL	18	4335741	108199	10	0.224941	0.000684			
All Reads	ALL	19	6401990	177234	9	0.24954	0.000593			
All Reads	ALL	20	9247196	282361	9	0.275235	0.000518			
All Reads	ALL	21	13006685	440377	9	0.305188	0.00046			
