## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_47_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_47_gc_summary.txt INPUT=BACW_47.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_47_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 13:47:09 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	291	15	0.020728	0.001215			
All Reads	ALL	1	96778	271	15	0.026608	0.001616			
All Reads	ALL	2	112145	418	15	0.035418	0.001732			
All Reads	ALL	3	142995	558	14	0.03708	0.00157			
All Reads	ALL	4	154320	726	14	0.044704	0.001659			
All Reads	ALL	5	157807	1030	13	0.062021	0.001933			
All Reads	ALL	6	178809	1327	13	0.070519	0.001936			
All Reads	ALL	7	192237	1673	12	0.082696	0.002022			
All Reads	ALL	8	219150	2121	12	0.091966	0.001997			
All Reads	ALL	9	247666	2834	12	0.108733	0.002042			
All Reads	ALL	10	291586	3817	11	0.124389	0.002013			
All Reads	ALL	11	356793	5257	11	0.140007	0.001931			
All Reads	ALL	12	465979	7789	11	0.158834	0.0018			
All Reads	ALL	13	615239	11417	11	0.176334	0.00165			
All Reads	ALL	14	873141	17421	10	0.18959	0.001436			
All Reads	ALL	15	1285786	27675	10	0.204525	0.001229			
All Reads	ALL	16	1924728	44271	10	0.218563	0.001039			
All Reads	ALL	17	2891023	70608	10	0.232076	0.000873			
All Reads	ALL	18	4335741	112365	10	0.246261	0.000735			
All Reads	ALL	19	6401990	176137	9	0.261434	0.000623			
All Reads	ALL	20	9247196	270337	9	0.277794	0.000534			
All Reads	ALL	21	13006685	408962	9	0.298774	0.000467			
