## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_53_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_53_gc_summary.txt INPUT=BACW_53.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_53_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 15:13:04 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	449	15	0.034488	0.001628			
All Reads	ALL	1	96778	452	16	0.047857	0.002251			
All Reads	ALL	2	112145	685	15	0.062588	0.002391			
All Reads	ALL	3	142995	909	15	0.065136	0.00216			
All Reads	ALL	4	154320	1268	14	0.084193	0.002364			
All Reads	ALL	5	157807	1535	13	0.09967	0.002544			
All Reads	ALL	6	178809	2036	13	0.116673	0.002586			
All Reads	ALL	7	192237	2491	12	0.132775	0.00266			
All Reads	ALL	8	219150	3485	12	0.162945	0.00276			
All Reads	ALL	9	247666	4336	12	0.179392	0.002724			
All Reads	ALL	10	291586	5910	11	0.207683	0.002702			
All Reads	ALL	11	356793	8090	11	0.232334	0.002583			
All Reads	ALL	12	465979	11686	11	0.256968	0.002377			
All Reads	ALL	13	615239	17799	11	0.296437	0.002222			
All Reads	ALL	14	873141	28212	10	0.331078	0.001971			
All Reads	ALL	15	1285786	45048	10	0.358994	0.001691			
All Reads	ALL	16	1924728	73257	10	0.389996	0.001441			
All Reads	ALL	17	2891023	120402	10	0.426739	0.00123			
All Reads	ALL	18	4335741	194826	10	0.46043	0.001043			
All Reads	ALL	19	6401990	311766	10	0.498992	0.000894			
All Reads	ALL	20	9247196	484930	9	0.53734	0.000772			
All Reads	ALL	21	13006685	733932	9	0.578188	0.000675			
All Reads	ALL	22	17758784	1077798	9	0.621877	0.000599			
All Reads	ALL	23	23572432	1531030	9	0.665518	0.000538			
All Reads	ALL	24	30422731	2102561	9	0.708159	0.000488			
All Reads	ALL	25	38148940	2775769	9	0.745557	0.000447			
All Reads	ALL	26	46458566	3542232	9	0.781252	0.000415			
All Reads	ALL	27	55140542	4375121	8	0.813016	0.000389			
All Reads	ALL	28	63902550	5245267	8	0.841065	0.000367			
All Reads	ALL	29	72441993	6112877	8	0.86464	0.00035			
All Reads	ALL	30	80581156	6961189	8	0.885177	0.000335			
All Reads	ALL	31	88164984	7783296	8	0.904581	0.000324			
All Reads	ALL	32	95038247	8546235	8	0.921418	0.000315			
All Reads	ALL	33	101107447	9248978	8	0.937326	0.000308			
All Reads	ALL	34	106387106	9841644	8	0.947892	0.000302			
All Reads	ALL	35	110786537	10361532	8	0.958335	0.000298			
All Reads	ALL	36	114265477	10740049	7	0.9631	0.000294			
All Reads	ALL	37	116110601	10966497	7	0.967779	0.000292			
All Reads	ALL	38	115907234	11034814	7	0.975517	0.000294			
All Reads	ALL	39	113900160	10913947	7	0.981833	0.000297			
All Reads	ALL	40	110364340	10654227	7	0.989176	0.000303			
All Reads	ALL	41	105407746	10293851	7	1.000658	0.000312			
All Reads	ALL	42	99544188	9896124	7	1.01866	0.000324			
All Reads	ALL	43	93500811	9506228	7	1.041773	0.000338			
All Reads	ALL	44	88088657	9166316	7	1.06624	0.000352			
All Reads	ALL	45	83720724	8890871	7	1.088157	0.000365			
All Reads	ALL	46	80351717	8694072	6	1.108685	0.000376			
All Reads	ALL	47	77655538	8519855	6	1.124191	0.000385			
All Reads	ALL	48	74952441	8314530	6	1.136664	0.000394			
All Reads	ALL	49	71661283	8018471	6	1.146535	0.000405			
All Reads	ALL	50	67505559	7604205	6	1.154236	0.000419			
All Reads	ALL	51	62660114	7082419	6	1.158166	0.000435			
All Reads	ALL	52	57645953	6527680	6	1.1603	0.000454			
All Reads	ALL	53	52963590	5999271	6	1.16065	0.000474			
All Reads	ALL	54	48793587	5525056	6	1.160257	0.000494			
All Reads	ALL	55	45115286	5104898	6	1.159427	0.000513			
All Reads	ALL	56	41569878	4698292	6	1.158088	0.000534			
All Reads	ALL	57	37799155	4276900	6	1.159384	0.000561			
All Reads	ALL	58	33644269	3808568	6	1.159927	0.000594			
All Reads	ALL	59	29144419	3310371	6	1.163862	0.00064			
All Reads	ALL	60	24632876	2804253	6	1.166493	0.000697			
All Reads	ALL	61	20468515	2339068	6	1.170946	0.000766			
All Reads	ALL	62	16914610	1939390	5	1.174853	0.000844			
All Reads	ALL	63	13979884	1599409	5	1.172293	0.000927			
All Reads	ALL	64	11560263	1318397	5	1.168581	0.001018			
All Reads	ALL	65	9542060	1078374	5	1.157997	0.001115			
All Reads	ALL	66	7868349	877295	5	1.142463	0.00122			
All Reads	ALL	67	6396960	703505	5	1.12687	0.001344			
All Reads	ALL	68	5119562	555690	5	1.112193	0.001492			
All Reads	ALL	69	4099097	437599	5	1.093877	0.001654			
All Reads	ALL	70	3289710	340711	5	1.061228	0.001818			
All Reads	ALL	71	2634439	264280	5	1.027913	0.002			
All Reads	ALL	72	2131665	206334	5	0.991818	0.002183			
All Reads	ALL	73	1739975	162668	5	0.957942	0.002375			
All Reads	ALL	74	1435643	129216	5	0.922253	0.002566			
All Reads	ALL	75	1208249	105306	4	0.893052	0.002752			
All Reads	ALL	76	1041500	87368	4	0.859554	0.002908			
All Reads	ALL	77	916351	72746	4	0.813444	0.003016			
All Reads	ALL	78	815285	61876	4	0.777666	0.003126			
All Reads	ALL	79	711558	51100	4	0.735853	0.003255			
All Reads	ALL	80	606682	42385	4	0.715865	0.003477			
All Reads	ALL	81	510586	34329	4	0.688926	0.003718			
All Reads	ALL	82	428988	27115	4	0.647656	0.003933			
All Reads	ALL	83	353096	21125	4	0.613033	0.004218			
All Reads	ALL	84	276529	15799	4	0.585422	0.004658			
All Reads	ALL	85	200966	11311	4	0.576712	0.005423			
All Reads	ALL	86	134371	8200	4	0.6253	0.006905			
All Reads	ALL	87	88139	5415	3	0.629521	0.008555			
All Reads	ALL	88	60841	3442	3	0.579689	0.009881			
All Reads	ALL	89	39439	2195	3	0.570281	0.012172			
All Reads	ALL	90	25739	1355	3	0.539421	0.014654			
All Reads	ALL	91	16593	760	3	0.46932	0.017024			
All Reads	ALL	92	9922	431	3	0.445101	0.02144			
All Reads	ALL	93	6255	261	3	0.427556	0.026465			
All Reads	ALL	94	3553	161	3	0.464313	0.036593			
All Reads	ALL	95	1701	61	3	0.367456	0.047048			
All Reads	ALL	96	986	38	2	0.3949	0.064061			
All Reads	ALL	97	658	17	2	0.26473	0.064206			
All Reads	ALL	98	328	11	2	0.343636	0.10361			
All Reads	ALL	99	133	1	2	0.077042	0.077042			
All Reads	ALL	100	339	2	2	0.060452	0.042746			


