## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_55_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_55_gc_summary.txt INPUT=BACW_55.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_55_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 15:35:13 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133402	369	15	0.023498	0.001223			
All Reads	ALL	1	96778	417	16	0.036605	0.001793			
All Reads	ALL	2	112145	651	15	0.049315	0.001933			
All Reads	ALL	3	142995	941	14	0.055904	0.001822			
All Reads	ALL	4	154320	1220	14	0.06716	0.001923			
All Reads	ALL	5	157807	1576	13	0.084841	0.002137			
All Reads	ALL	6	178809	1963	13	0.093262	0.002105			
All Reads	ALL	7	192237	2668	13	0.117903	0.002283			
All Reads	ALL	8	219150	3495	12	0.135482	0.002292			
All Reads	ALL	9	247666	4584	12	0.157236	0.002322			
All Reads	ALL	10	291586	6222	11	0.181275	0.002298			
All Reads	ALL	11	356793	8761	11	0.208599	0.002229			
All Reads	ALL	12	465979	12601	11	0.229728	0.002046			
All Reads	ALL	13	615239	19065	11	0.26325	0.001907			
All Reads	ALL	14	873141	29401	10	0.286057	0.001668			
All Reads	ALL	15	1285786	46978	10	0.310385	0.001432			
All Reads	ALL	16	1924728	76253	10	0.33656	0.001219			
All Reads	ALL	17	2891023	123125	10	0.361801	0.001031			
All Reads	ALL	18	4335741	198202	10	0.388347	0.000872			
All Reads	ALL	19	6401990	316404	10	0.419858	0.000746			
All Reads	ALL	20	9247196	490605	9	0.45071	0.000643			
All Reads	ALL	21	13006685	745632	9	0.487005	0.000564			
