ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ONTOLOGY
GO:0001843,neural tube closure,0.08536585365853659,82/18986,0.08536585365853659,11.660115809791193,8.307753083358074,2.3304490238763134e-6,0.002998676896309021,0.00272734452116984,SKI/SCRIB/RARA/LIAS/SALL4/ST14/CASP3,7,BP
GO:0060606,tube closure,0.08433734939759036,83/18986,0.08433734939759036,11.519632486781658,8.248326282910279,2.529670987588197e-6,0.002998676896309021,0.00272734452116984,SKI/SCRIB/RARA/LIAS/SALL4/ST14/CASP3,7,BP
GO:0014020,primary neural tube formation,0.08045977011494253,87/18986,0.08045977011494253,10.98999421152733,8.020418609009372,3.4747125102074403e-6,0.002998676896309021,0.00272734452116984,SKI/SCRIB/RARA/LIAS/SALL4/ST14/CASP3,7,BP
GO:0001841,neural tube formation,0.07446808510638298,94/18986,0.07446808510638298,10.171590387264656,7.655282014349872,5.833238691511899e-6,0.0037755637430810763,0.0034339355139242416,SKI/SCRIB/RARA/LIAS/SALL4/ST14/CASP3,7,BP
GO:0035148,tube formation,0.056338028169014086,142/18986,0.056338028169014086,7.695207214510082,6.877224993286528,9.918154363800936e-6,0.005135620329576124,0.00467092869722583,SKI/SCRIB/RARA/LIAS/SALL4/EDAR/ST14/CASP3,8,BP
GO:0001838,embryonic epithelial tube formation,0.06086956521739131,115/18986,0.06086956521739131,8.314169533938069,6.756286709736641,2.1980120663673805e-5,0.009484422066375247,0.008626233320111983,SKI/SCRIB/RARA/LIAS/SALL4/ST14/CASP3,7,BP
GO:0072175,epithelial tube formation,0.0546875,128/18986,0.0546875,7.469761690647482,6.307206333816508,4.382613966663272e-5,0.01620941079955887,0.014742717960038707,SKI/SCRIB/RARA/LIAS/SALL4/ST14/CASP3,7,BP
GO:0016331,morphogenesis of embryonic epithelium,0.04895104895104895,143/18986,0.04895104895104895,6.686220254565578,5.861493102197614,8.848544541335428e-5,0.028636102271896776,0.026044992288114938,SKI/SCRIB/RARA/LIAS/SALL4/ST14/CASP3,7,BP
GO:0021915,neural tube development,0.046357615894039736,151/18986,0.046357615894039736,6.331983419886607,5.649188121352552,1.2439648520979563e-4,0.035784722245351216,0.032546776305767584,SKI/SCRIB/RARA/LIAS/SALL4/ST14/CASP3,7,BP
GO:0033689,negative regulation of osteoblast proliferation,0.2,15/18986,0.2,27.317985611510792,8.756786237547505,1.6381938642108046e-4,0.04241283914441773,0.03857515446567968,AXIN2/SMAD3/NF2,3,BP
